route_id,airline_code,airline_id,source_airport,source_airport_id,destination_airport,destination_airport_id,codeshare,stops,equipment
12591,AZ,596,AUH,2179,BOM,2997,,0,346
12592,AZ,596,AUH,2179,CGK,3275,,0,332 77W
12593,AZ,596,AUH,2179,CMB,3024,Y,0,320
12594,AZ,596,AUH,2179,COK,3136,,0,320
12595,AZ,596,AUH,2179,CTU,3395,,0,332
12596,AZ,596,AUH,2179,DEL,3093,,0,332
12597,AZ,596,AUH,2179,FCO,1555,,0,330
12598,AZ,596,AUH,2179,JNB,813,Y,0,332
12599,AZ,596,AUH,2179,KHI,2206,,0,320
12600,AZ,596,AUH,2179,KRT,1175,Y,0,320
12601,AZ,596,AUH,2179,KUL,3304,,0,332
12602,AZ,596,AUH,2179,KWI,2176,,0,320
12603,AZ,596,AUH,2179,LHE,2207,,0,346 332 77W
12604,AZ,596,AUH,2179,MCT,2194,,0,320
12605,AZ,596,AUH,2179,MEL,3339,Y,0,77W
12606,AZ,596,AUH,2179,MLE,3156,Y,0,320
12607,AZ,596,AUH,2179,MXP,1524,Y,0,332
12608,AZ,596,AUH,2179,NBO,4059,Y,0,320
12609,AZ,596,AUH,2179,PEK,3364,,0,332
12610,AZ,596,AUH,2179,SEZ,994,Y,0,320
12611,AZ,596,AUH,2179,SIN,3316,Y,0,332
12612,AZ,596,AUH,2179,SYD,3361,Y,0,77W 346
12613,AZ,596,AUS,3673,ATL,3682,Y,0,M90 M88
12614,AZ,596,AVL,4007,ATL,3682,Y,0,CRJ
12615,AZ,596,BAH,2057,AUH,2179,Y,0,320
12616,AZ,596,BAY,1649,OTP,1657,Y,0,AT5
12617,AZ,596,BCN,1218,FCO,1555,,0,32S 320 319 321
12618,AZ,596,BCN,1218,LIN,1529,,0,E75
12619,AZ,596,BCN,1218,PMI,3998,Y,0,E90
12620,AZ,596,BCN,1218,TFN,1057,Y,0,738
12621,AZ,596,BDL,3825,ATL,3682,Y,0,M88
12622,AZ,596,BDS,1506,FCO,1555,,0,32S 319 321 320
12623,AZ,596,BDS,1506,LIN,1529,Y,0,E90 319 E75 32S
12624,AZ,596,BEG,1739,FCO,1555,,0,E90 E75 32S 319
12625,AZ,596,BEG,1739,MXP,1524,Y,0,733
12626,AZ,596,BES,1403,CDG,1382,Y,0,318 321
12627,AZ,596,BEY,2177,FCO,1555,,0,32S 320 319
12628,AZ,596,BEY,2177,MXP,1524,,0,320
12629,AZ,596,BGO,636,AMS,580,Y,0,737 E90
12630,AZ,596,BHM,3811,ATL,3682,Y,0,M88
12631,AZ,596,BIA,1321,MRS,1353,,0,320
12632,AZ,596,BIA,1321,NCE,1354,,0,AT7
12633,AZ,596,BIO,1216,CDG,1382,Y,0,E70 E90
12634,AZ,596,BIO,1216,FCO,1555,,0,320 32S
12635,AZ,596,BKK,3885,AUH,2179,,0,77W
12636,AZ,596,BKK,3885,CDG,1382,Y,0,77W
12637,AZ,596,BLL,608,AMS,580,Y,0,737 F70 E90
12638,AZ,596,BLL,608,CDG,1382,Y,0,E90
12639,AZ,596,BLQ,1538,AMS,580,Y,0,E90
12640,AZ,596,BLQ,1538,CDG,1382,Y,0,E90 E70
12641,AZ,596,BLQ,1538,CTA,1509,,0,320
12642,AZ,596,BLQ,1538,FCO,1555,,0,319 E75
12643,AZ,596,BLQ,1538,IAS,1655,,0,733
12644,AZ,596,BLQ,1538,LIS,1638,Y,0,319 320
12645,AZ,596,BLQ,1538,SVO,2985,Y,0,320
12646,AZ,596,BLQ,1538,TIA,1190,Y,0,320
12647,AZ,596,BLR,3131,AUH,2179,,0,320
12648,AZ,596,BNA,3690,ATL,3682,Y,0,M88 717
12649,AZ,596,BOD,1264,CDG,1382,Y,0,321 320 32A 318
12650,AZ,596,BOD,1264,FCO,1555,,0,E70 E90 CR7
12651,AZ,596,BOM,2997,AUH,2179,,0,346 320
12652,AZ,596,BOS,3448,CDG,1382,Y,0,744
12653,AZ,596,BOS,3448,FCO,1555,,0,330 332
12654,AZ,596,BRE,353,AMS,580,Y,0,F70
12655,AZ,596,BRE,353,CDG,1382,Y,0,E70
12656,AZ,596,BRI,1501,FCO,1555,,0,319 32S 321 E75 320
12657,AZ,596,BRI,1501,LIN,1529,,0,320 32S
12658,AZ,596,BRI,1501,TIA,1190,,0,319
12659,AZ,596,BRI,1501,TRN,1526,,0,319
12660,AZ,596,BRS,490,AMS,580,Y,0,E90
12661,AZ,596,BRU,302,FCO,1555,,0,32S 320 319
12662,AZ,596,BRU,302,LIN,1529,Y,0,E75 E90
12663,AZ,596,BUD,1489,FCO,1555,,0,32S 319
12664,AZ,596,BUF,3820,ATL,3682,Y,0,M90 M88
12665,AZ,596,BWI,3849,ATL,3682,Y,0,M88 757 M90 717
